127.0.0.1 - - [21/Sep/2023:19:44:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:41 +0900] "GET /semi01/resource/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9E%90%EB%A3%8C/%EB%8B%AC%EB%A0%A53.PNG HTTP/1.1" 200 3867
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:41 +0900] "GET /semi01/resource/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9E%90%EB%A3%8C/phone.jpg HTTP/1.1" 200 3038
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:44:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:48:20 +0900] "GET /semi01/newUser.ur HTTP/1.1" 200 18973
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:48:48 +0900] "GET /semi01 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:48:52 +0900] "GET /semi01/ HTTP/1.1" 200 61709
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:52:52 +0900] "GET /semi01/login.ur HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:52:53 +0900] "GET /semi01/resource/%EC%9D%B4%EB%AF%B8%EC%A7%80%EC%9E%90%EB%A3%8C/%EC%9D%B4%EB%B2%A4%ED%8A%B8.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:53:01 +0900] "GET /semi01/login.me?userId=IU&userPwd=1588 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:53:01 +0900] "GET /semi01/login.ur HTTP/1.1" 200 4686
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:53:06 +0900] "GET /semi01/login.me?userId=suzi&userPwd=1588 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:53:06 +0900] "GET /semi01/login.ur HTTP/1.1" 200 4686
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:53:40 +0900] "GET /semi01/login.ur HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:57:03 +0900] "GET /semi01/login.me?userId=suzi&userPwd=1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:57:03 +0900] "GET /semi01/login.ur HTTP/1.1" 200 4686
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:57:08 +0900] "GET /semi01/login.me?userId=IU&userPwd=2121 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:57:08 +0900] "GET /semi01 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:57:15 +0900] "GET /semi01/ HTTP/1.1" 200 62540
0:0:0:0:0:0:0:1 - - [21/Sep/2023:19:59:20 +0900] "GET /semi01/logout.me HTTP/1.1" 302 -
